arg-id,x,y,probability,cluster-id
A1_0,15.023772,12.954168,1.0,2
A1_1,14.557667,12.997263,1.0,2
A2_0,16.068966,12.815664,0.0,2
A3_0,16.890623,12.576455,1.0,1
A4_0,14.588857,12.196161,0.7483727022349514,5
A5_0,14.551118,8.745703,1.0,0
A6_0,15.076053,13.009572,1.0,2
A6_1,14.375917,11.920617,1.0,5
A7_0,14.887939,12.050542,0.0,5
A7_1,14.533723,11.493678,1.0,5
A8_0,16.50215,11.65276,1.0,1
A9_0,17.207956,11.7365675,1.0,1
A9_1,17.465908,11.800725,1.0,1
A10_0,17.737057,10.2328415,0.5095431318917628,3
A10_1,17.313625,10.390442,1.0,3
A11_0,17.070873,10.632913,1.0,3
A11_1,16.757835,10.862887,1.0,0
A12_0,14.400529,13.069474,0.8274245364041029,2
A12_1,14.622856,13.086337,0.858877419425454,2
A13_0,17.619425,10.034687,1.0,3
A13_1,17.325758,9.809711,0.0,3
A14_0,14.135297,10.454197,1.0,5
A15_0,17.701067,9.969194,1.0,3
A15_1,17.269121,10.272405,0.3197503815477947,3
A16_0,15.734604,12.261747,1.0,2
A16_1,15.917055,9.673357,1.0,0
A17_0,17.756502,10.031602,0.7633525121354119,3
A17_1,15.721621,9.032616,1.0,0
A18_0,15.819422,11.136474,1.0,0
A18_1,15.39941,9.40614,0.24682667907203332,0
A19_0,15.954578,13.526862,0.86850146696078,2
A20_0,15.925151,12.496405,0.6800786486383082,2
A20_1,16.129368,12.054362,0.0,2
A20_2,15.757689,9.03628,1.0,0
A21_0,17.130964,10.719831,0.0,3
A22_0,15.507831,10.870112,1.0,0
A22_1,15.214449,10.679279,1.0,0
A23_0,17.93018,10.419002,0.0,3
A23_1,17.259052,11.349992,0.0,1
A24_0,12.233038,7.281022,1.0,4
A25_0,15.838532,12.127221,1.0,2
A25_1,15.907519,9.523425,1.0,0
A26_0,12.22289,7.33886,1.0,4
A27_0,17.102474,12.919659,1.0,1
A28_0,16.320404,12.47007,0.0,2
A28_1,14.97018,9.7956295,1.0,0
A29_0,17.55362,10.033915,1.0,3
A30_0,14.463189,10.27763,1.0,0
A30_1,15.643024,8.967863,0.7105273317735213,0
A31_0,15.073828,11.807852,1.0,5
A31_1,15.149065,11.666185,1.0,5
A32_0,16.43973,11.544914,1.0,1
A32_1,16.230698,9.55509,0.87563049772057,0
A33_0,16.362595,11.562666,1.0,1
A34_0,15.608591,13.303475,1.0,2
A34_1,15.599733,12.780544,0.0,2
A35_0,15.624933,13.573029,1.0,2
A36_0,16.281195,10.439645,0.805528456548986,0
A36_1,15.806754,9.799097,1.0,0
A37_0,16.809088,12.74449,0.9133546647859352,1
A37_1,15.343777,13.071056,0.0,2
A38_0,14.895133,12.481007,1.0,2
A39_0,16.471264,10.2721615,1.0,0
A39_1,16.325937,10.255936,1.0,0
A40_0,14.560374,8.782224,1.0,0
A41_0,16.973541,13.0475235,1.0,1
A41_1,16.181776,13.49139,0.670110169783678,2
A42_0,16.706299,10.775325,0.7347012571853486,0
A43_0,15.229299,12.131882,0.0,2
A43_1,14.964057,10.616665,0.8708001229090754,0
A44_0,17.561768,10.125759,0.9710152652744308,3
A45_0,14.282953,12.654691,0.7541054221506874,5
A45_1,13.879601,12.43163,1.0,5
A45_2,13.855606,11.281739,0.6707780687604338,5
A46_0,17.450445,12.157416,1.0,1
A47_0,14.752853,8.869232,0.502885061459415,0
A48_0,16.889124,11.110397,1.0,1
A49_0,12.411882,8.126964,1.0,4
A49_1,13.531056,11.444323,0.6707780687604338,5
A49_2,12.435442,7.98188,1.0,4
A50_0,17.308754,12.830597,1.0,1
A50_1,17.55709,12.648975,1.0,1
A51_0,17.208052,12.914192,1.0,1
A52_0,17.07008,13.111852,1.0,1
A53_0,16.984571,12.602939,1.0,1
A54_0,14.116033,12.462727,0.8044450110614192,5
A55_0,17.079893,13.039737,1.0,1
A55_1,17.463556,12.83243,1.0,1
A56_0,14.5393095,12.030378,1.0,5
A56_1,12.860442,8.5241585,0.5945375084135162,4
A57_0,13.898092,12.587994,1.0,5
A57_1,14.3586,11.568093,1.0,5
A58_0,15.913041,11.401913,1.0,0
A59_0,12.707554,7.9132094,0.4953887023522393,4
A59_1,12.843766,8.301889,0.6698685304983216,4
A60_0,17.666399,12.58269,1.0,1
A60_1,17.864328,11.685632,0.0,1
A60_2,17.80019,11.892513,0.7667878093200967,1
A60_3,17.839502,12.412175,0.8474830034743598,1
A60_4,17.85031,12.06184,0.7583716724967345,1
A60_5,17.366024,11.727358,1.0,1
A60_6,17.096058,12.084885,1.0,1
A61_0,11.911624,7.2213464,1.0,4
A62_0,15.587792,11.385159,0.975975714899008,0
A62_1,15.114125,9.489626,0.0,0
A63_0,12.14438,7.2819066,0.7710105315581834,4
A64_0,14.211954,8.68765,0.3615057483777637,0
A64_1,13.46373,10.443887,0.834833318013669,5
A65_0,13.881826,12.365816,0.8611248161216843,5
A65_1,14.570639,12.458549,0.9277427729396609,5
A66_0,14.69777,12.4586115,1.0,5
A67_0,13.553094,12.348621,0.0,5
A67_1,14.503493,12.970109,1.0,2
A68_0,16.26693,10.782722,0.0,0
A68_1,13.1738,10.475635,0.0,5
A69_0,14.089923,12.589229,1.0,5
A69_1,14.951456,13.277318,0.0,2
A70_0,12.284252,7.296116,1.0,4
A70_1,12.616069,8.359239,0.6698685304983216,4
A71_0,16.560043,11.420591,0.9601310245318575,1
A72_0,15.734279,8.917815,0.6438639166656127,0
A73_0,14.725444,9.079875,0.4378073442324498,0
A74_0,15.165072,9.94532,1.0,0
A74_1,14.925563,9.860178,0.96676516362159,0
A75_0,14.349044,10.3362665,1.0,5
A75_1,15.688464,9.060588,1.0,0
A76_0,16.824644,11.947523,0.0,1
A77_0,12.171291,7.6587257,1.0,4
A78_0,16.607273,11.42605,0.808614816968977,1
A79_0,11.914246,7.061523,1.0,4
A80_0,12.174591,7.7181296,1.0,4
A81_0,17.005152,11.251487,1.0,1
A82_0,12.361395,7.2215724,0.551902149691121,4
A83_0,14.647125,8.850233,0.9636536883409893,0
A84_0,11.945238,7.5027366,1.0,4
A85_0,12.09326,7.5092683,1.0,4
A86_0,11.980402,7.1675653,1.0,4
A87_0,12.033002,7.432373,1.0,4
A88_0,15.783679,13.570766,1.0,2
A88_1,15.527232,12.895646,0.0,2
A89_0,12.1399145,7.6528144,1.0,4
A89_1,12.450648,8.156499,1.0,4
A90_0,15.638075,12.255769,1.0,2
A91_0,14.039497,8.55459,0.21863746800767955,0
A91_1,14.5057745,8.691105,1.0,0
A92_0,15.656502,10.518928,1.0,0
A93_0,15.45336,13.223096,1.0,2
A94_0,15.573442,13.634298,0.7228728608643135,2
A95_0,13.932996,12.061168,0.6209932539824876,5
A95_1,13.572405,10.874995,1.0,5
A96_0,15.875236,13.752628,0.7797416612870238,2
A97_0,14.191177,12.019235,0.9399372297647317,5
A97_1,14.309788,11.907219,1.0,5
A98_0,15.569309,10.32498,1.0,0
A98_1,13.671241,10.50779,0.9059099488523278,5
A99_0,15.756364,8.806025,0.3713404908631365,0
A100_0,15.496365,9.1802845,0.29850766709333854,0
A101_0,15.064283,10.082424,0.9888118988184333,0
A101_1,14.999754,10.322426,0.8291083762617356,0
A102_0,15.920354,13.013606,0.0,2
A103_0,15.0255575,11.052386,0.0,0
A103_1,15.255811,11.112862,1.0,0
A104_0,15.993056,13.348158,0.670110169783678,2
A105_0,15.820907,13.660751,1.0,2
A106_0,15.422051,13.436413,1.0,2
A106_1,15.269105,12.782293,0.0,2
A107_0,14.262595,11.352285,1.0,5
A108_0,14.893462,12.976857,1.0,2
A108_1,13.5748625,10.758695,0.9059099488523278,5
A109_0,12.372119,7.3566465,0.661902737228859,4
A110_0,17.06311,12.729417,1.0,1
A110_1,17.684109,12.468121,1.0,1
A111_0,15.071131,11.46789,0.0,5
A112_0,12.454979,7.4334507,0.0,4
A113_0,16.149897,11.164757,0.9895761529817289,0
A113_1,15.826763,11.760272,0.0,2
A114_0,16.724752,13.296793,0.0,1
A115_0,15.389243,10.708688,1.0,0
A116_0,15.657099,10.4114275,1.0,0
A117_0,13.60474,12.14691,0.0,5
A117_1,13.555334,11.124907,0.9720386457729977,5
A118_0,13.717268,11.797256,0.0,5
A118_1,13.367248,11.006135,1.0,5
A119_0,15.305482,12.310276,0.706566116687855,2
A119_1,15.069179,12.652036,1.0,2
A120_0,16.628736,10.401951,0.6070385455061714,0
